name,fir_size,buffer_size,mac,result,max_error_e6,count,min_cycles,max_cycles,avg_cycles,min_nsec,max_nsec,avg_nsec,min_mac_per_cycle,max_mac_per_cycle,avg_mac_per_cycle,min_mac_per_nsec,max_mac_per_nsec,avg_mac_per_nsec
100 NOP,0,0,0,OK,0.000000e-6,9999.000000,75.000000,159.000000,92.000000,50.000000,106.000000,61.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000 NOP,0,0,0,OK,0.000000e-6,9999.000000,993.000000,11688.000000,995.000000,662.000000,7792.000000,663.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FIR.basic,16,8,128,OK,0.834465e-6,1023.000000,354.000000,660.000000,381.000000,236.000000,440.000000,254.000000,0.193939,0.361582,0.335958,0.290909,0.542373,0.503937
FIR.basic_restrict,16,8,128,OK,0.834465e-6,1023.000000,437.000000,494.000000,440.000000,291.000000,329.000000,293.000000,0.259109,0.292906,0.290909,0.389058,0.439863,0.436860
FIR.circular,16,8,128,OK,0.834465e-6,1023.000000,909.000000,966.000000,929.000000,606.000000,644.000000,619.000000,0.132505,0.140814,0.137783,0.198758,0.211221,0.206785
FIR.circular_restrict,16,8,128,OK,0.834465e-6,1023.000000,909.000000,966.000000,929.000000,606.000000,644.000000,619.000000,0.132505,0.140814,0.137783,0.198758,0.211221,0.206785
FIR.opt,16,8,128,OK,0.834465e-6,1023.000000,134.000000,13106.000000,159.000000,89.000000,8737.000000,106.000000,0.009767,0.955224,0.805031,0.014650,1.438202,1.207547
FIR.cmsis,16,8,128,OK,0.715256e-6,1023.000000,158.000000,243.000000,170.000000,105.000000,162.000000,113.000000,0.526749,0.810127,0.752941,0.790123,1.219048,1.132743
FIR.basic_cache_thrash,16,8,128,OK,0.834465e-6,1023.000000,380.000000,3714.000000,452.000000,253.000000,2476.000000,301.000000,0.034464,0.336842,0.283186,0.051696,0.505929,0.425249
FIR.opt_cache_thrash,16,8,128,OK,0.834465e-6,1023.000000,134.000000,3579.000000,198.000000,89.000000,2386.000000,132.000000,0.035764,0.955224,0.646465,0.053646,1.438202,0.969697
FIR.basic,16,16,256,OK,0.834465e-6,511.000000,714.000000,909.000000,738.000000,476.000000,606.000000,492.000000,0.281628,0.358543,0.346883,0.422442,0.537815,0.520325
FIR.basic_restrict,16,16,256,OK,0.834465e-6,511.000000,827.000000,16881.000000,888.000000,551.000000,11254.000000,592.000000,0.015165,0.309553,0.288288,0.022747,0.464610,0.432432
FIR.circular,16,16,256,OK,0.834465e-6,511.000000,1826.000000,1883.000000,1854.000000,1217.000000,1255.000000,1236.000000,0.135953,0.140197,0.138080,0.203984,0.210353,0.207120
FIR.circular_restrict,16,16,256,OK,0.834465e-6,511.000000,1826.000000,1883.000000,1854.000000,1217.000000,1255.000000,1236.000000,0.135953,0.140197,0.138080,0.203984,0.210353,0.207120
FIR.opt,16,16,256,OK,0.834465e-6,511.000000,243.000000,356.000000,255.000000,162.000000,237.000000,170.000000,0.719101,1.053498,1.003922,1.080169,1.580247,1.505882
FIR.cmsis,16,16,256,OK,0.715256e-6,511.000000,243.000000,354.000000,264.000000,162.000000,236.000000,176.000000,0.723164,1.053498,0.969697,1.084746,1.580247,1.454545
FIR.basic_cache_thrash,16,16,256,OK,0.834465e-6,511.000000,716.000000,5298.000000,1403.000000,477.000000,3532.000000,935.000000,0.048320,0.357542,0.182466,0.072480,0.536688,0.273797
FIR.opt_cache_thrash,16,16,256,OK,0.834465e-6,511.000000,243.000000,4661.000000,1071.000000,162.000000,3107.000000,714.000000,0.054924,1.053498,0.239029,0.082395,1.580247,0.358543
FIR.basic,16,32,512,OK,0.834465e-6,255.000000,1382.000000,1605.000000,1422.000000,921.000000,1070.000000,948.000000,0.319003,0.370478,0.360056,0.478505,0.555918,0.540084
